network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
256x20_20260531_lr1e-9,230,Queen's Pawn Game: London System,35,0.293996,0.072697,0.323223,0.028665,149.392407,44.757004
256x20_20260531_lr1e-9,230,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.41381,0.112637,0.373112,0.028875,43.327903,10.892678
256x20_20260531_lr1e-9,230,Ruy Lopez: Exchange Variation,9,0.42522,0.123301,0.467343,0.036089,42.12393,7.637707
256x20_20260531_lr1e-9,230,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.372698,0.115798,0.401795,0.027337,60.649972,10.063152
256x20_20260531_lr1e-9,230,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.505467,0.106573,0.473418,0.034082,24.028672,7.458076
256x20_20260531_lr1e-9,230,Ruy Lopez: Morphy Defense,9,0.647443,0.107154,0.497945,0.022661,5.282569,6.825701
256x20_20260531_lr1e-9,230,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.536332,0.127573,0.453968,0.026772,23.70325,7.823029
256x20_20260531_lr1e-9,230,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.482698,0.140705,0.460445,0.07087,42.12393,14.01498
256x20_20260531_lr1e-9,230,Ruy Lopez: Steinitz Defense,17,0.398319,0.127725,0.371974,0.05218,100.877026,21.672759
256x20_20260531_lr1e-9,230,Semi-Slav Defense,14,0.459604,0.097452,0.367238,0.0222,15.56924,15.58745
256x20_20260531_lr1e-9,230,Semi-Slav Defense: Accelerated Move Order,17,0.376177,0.107945,0.33232,0.02061,85.98164,20.551942
256x20_20260531_lr1e-9,230,Semi-Slav Defense: Main Line,17,0.572193,0.090634,0.323265,0.020431,13.831149,21.182156
256x20_20260531_lr1e-9,230,Sicilian Defense,10,0.580771,0.132814,0.479263,0.074454,40.010518,9.42369
256x20_20260531_lr1e-9,230,Sicilian Defense: Chekhover Variation,13,0.533595,0.12576,0.409734,0.052242,44.083384,14.236131
256x20_20260531_lr1e-9,230,Sicilian Defense: Closed,66,0.379918,0.13874,0.361892,0.055075,379.518267,86.780789
256x20_20260531_lr1e-9,230,"Sicilian Defense: Closed, Traditional",34,0.443339,0.165717,0.3396,0.063751,217.532003,53.151613
256x20_20260531_lr1e-9,230,Sicilian Defense: Franco-Sicilian Variation,20,0.366517,0.114734,0.384879,0.075675,138.247342,27.274444
256x20_20260531_lr1e-9,230,Sicilian Defense: Grand Prix Attack,35,0.401333,0.123502,0.377194,0.063665,139.749398,45.203963
256x20_20260531_lr1e-9,230,Sicilian Defense: Löwenthal Variation,10,0.567381,0.086453,0.501852,0.056042,23.354126,8.032144
256x20_20260531_lr1e-9,230,Sicilian Defense: Modern Variations,35,0.292258,0.09267,0.311342,0.025573,245.590682,44.998593
256x20_20260531_lr1e-9,230,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.459282,0.147674,0.38408,0.073125,70.190416,23.126486
256x20_20260531_lr1e-9,230,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.449263,0.118578,0.391511,0.061378,28.385381,13.855622
256x20_20260531_lr1e-9,230,"Sicilian Defense: Modern Variations, Main Line",10,0.680771,0.10666,0.567433,0.085864,21.589838,8.220391
256x20_20260531_lr1e-9,230,Sicilian Defense: Old Sicilian,35,0.371083,0.108889,0.32401,0.04858,174.467573,47.564828
256x20_20260531_lr1e-9,230,Sicilian Defense: Open,17,0.546078,0.133371,0.45994,0.088346,62.924157,18.280124
256x20_20260531_lr1e-9,230,Sicilian Defense: Taimanov Variation,9,0.635185,0.087929,0.45596,0.071935,5.36731,8.850648
256x20_20260531_lr1e-9,240,Bishop's Opening,35,0.241757,0.11114,0.352661,0.054265,316.273056,45.741233
256x20_20260531_lr1e-9,240,Bishop's Opening: Berlin Defense,28,0.337758,0.077164,0.308934,0.012975,148.926373,34.812974
256x20_20260531_lr1e-9,240,Bogo-Indian Defense: Exchange Variation,18,0.47521,0.121643,0.347724,0.024347,68.589157,20.703641
256x20_20260531_lr1e-9,240,Bogo-Indian Defense: Nimzowitsch Variation,18,0.485979,0.111167,0.301482,0.012573,67.321819,22.691327
256x20_20260531_lr1e-9,240,Catalan Opening: Closed,24,0.55799,0.075856,0.379432,0.059839,17.471243,27.006645
256x20_20260531_lr1e-9,240,Grünfeld Defense,10,0.440336,0.056201,0.346147,0.059713,25.743199,14.212191
256x20_20260531_lr1e-9,240,Grünfeld Defense: Exchange Variation,10,0.53649,0.065611,0.436404,0.082957,7.91001,10.904629
256x20_20260531_lr1e-9,240,Grünfeld Defense: Three Knights Variation,30,0.495988,0.132103,0.330739,0.060153,157.640287,42.197992
256x20_20260531_lr1e-9,240,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.516415,0.102768,0.377614,0.068151,50.3153,25.488274
256x20_20260531_lr1e-9,240,Indian Defense: Anti-Nimzo-Indian,22,0.415746,0.101667,0.274575,0.03745,89.225738,36.274228
256x20_20260531_lr1e-9,240,Indian Defense: London System,35,0.342603,0.106762,0.350224,0.05641,193.407197,45.473879
256x20_20260531_lr1e-9,240,Italian Game: Classical Variation,18,0.325772,0.102177,0.364866,0.031454,105.198265,20.864884
256x20_20260531_lr1e-9,240,"Italian Game: Classical Variation, Albin Gambit",16,0.394637,0.087836,0.380332,0.028566,50.593475,17.306238
256x20_20260531_lr1e-9,240,"Italian Game: Classical Variation, Center Attack",16,0.4307,0.098937,0.428088,0.023157,48.944825,14.92749
256x20_20260531_lr1e-9,240,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.439179,0.078826,0.346306,0.017855,66.998888,39.841182
256x20_20260531_lr1e-9,240,"Italian Game: Giuoco Pianissimo, Normal",27,0.440451,0.067839,0.349352,0.016064,58.337116,30.233633
256x20_20260531_lr1e-9,240,Italian Game: Giuoco Piano,22,0.387834,0.088774,0.369313,0.020547,90.127383,23.673696
256x20_20260531_lr1e-9,240,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.493584,0.174706,0.444001,0.080385,154.934927,30.973696
256x20_20260531_lr1e-9,240,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.458686,0.088436,0.299176,0.015923,62.991375,40.095809
256x20_20260531_lr1e-9,240,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.288163,0.11961,0.323835,0.020155,210.196969,27.153871
256x20_20260531_lr1e-9,240,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.288163,0.11961,0.372124,0.029836,210.196969,24.647432
256x20_20260531_lr1e-9,240,King's Indian Defense,10,0.469671,0.049243,0.405792,0.040393,10.087734,10.220564
256x20_20260531_lr1e-9,240,King's Indian Defense: Fianchetto Variation,22,0.558479,0.119983,0.441064,0.108347,82.049949,26.620346
256x20_20260531_lr1e-9,240,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.465952,0.087157,0.291299,0.054513,47.321551,25.066807
256x20_20260531_lr1e-9,240,King's Indian Defense: Four Pawns Attack,9,0.484548,0.045348,0.459675,0.05215,23.52981,8.295772
256x20_20260531_lr1e-9,240,King's Indian Defense: Normal Variation,10,0.50276,0.066021,0.400227,0.041976,24.222957,10.360807
256x20_20260531_lr1e-9,240,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.541321,0.081327,0.414267,0.048594,31.035331,18.514729
256x20_20260531_lr1e-9,240,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.549049,0.088897,0.43958,0.049356,66.67519,22.951681
256x20_20260531_lr1e-9,240,King's Indian Defense: Smyslov Variation,21,0.397611,0.099924,0.407008,0.054143,120.580791,22.122515
256x20_20260531_lr1e-9,240,London System,29,0.388021,0.124889,0.341028,0.051066,196.889598,39.710726
256x20_20260531_lr1e-9,240,"London System, with Bd3",13,0.375796,0.123372,0.399965,0.07114,80.732887,14.833596
256x20_20260531_lr1e-9,240,"London System, with Be2",13,0.411197,0.103864,0.383035,0.07741,46.855509,15.926746
256x20_20260531_lr1e-9,240,Neo-Grünfeld Defense: with Nf3,24,0.381122,0.099394,0.320509,0.051207,109.974673,33.330833
256x20_20260531_lr1e-9,240,Nimzo-Indian Defense,21,0.380395,0.070399,0.272688,0.013207,58.584331,28.684242
256x20_20260531_lr1e-9,240,Nimzo-Indian Defense: Classical Variation,10,0.472551,0.057851,0.336314,0.019322,25.116444,11.678434
256x20_20260531_lr1e-9,240,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.372551,0.050695,0.339277,0.020024,27.601351,11.632695
256x20_20260531_lr1e-9,240,Nimzo-Indian Defense: Three Knights Variation,30,0.351015,0.117765,0.326212,0.067083,170.648861,48.718731
256x20_20260531_lr1e-9,240,Petrov's Defense: Italian Variation,20,0.220208,0.09963,0.314097,0.012347,180.259078,24.594656
256x20_20260531_lr1e-9,240,Philidor Defense,51,0.277743,0.112878,0.3688,0.063277,464.486004,67.006097
256x20_20260531_lr1e-9,240,Philidor Defense: Exchange Variation,20,0.471862,0.165699,0.372259,0.040539,102.058865,23.163618
256x20_20260531_lr1e-9,240,Queen's Gambit Accepted,33,0.321481,0.137952,0.340622,0.036558,258.198359,40.516912
256x20_20260531_lr1e-9,240,Queen's Gambit Accepted: Old Variation,34,0.406276,0.138302,0.377624,0.054529,202.597856,40.351444
256x20_20260531_lr1e-9,240,Queen's Gambit Declined,38,0.394045,0.102523,0.336386,0.029532,161.171486,48.541262
256x20_20260531_lr1e-9,240,Queen's Gambit Declined: Harrwitz Attack,34,0.491649,0.062178,0.334187,0.015322,29.166238,39.44284
256x20_20260531_lr1e-9,240,Queen's Gambit Declined: Modern Variation,19,0.387317,0.086454,0.329033,0.019593,73.486224,22.827387
256x20_20260531_lr1e-9,240,Queen's Gambit Declined: Ragozin Defense,39,0.457247,0.069486,0.329671,0.017334,39.884748,46.597633
256x20_20260531_lr1e-9,240,Queen's Gambit Declined: Three Knights Variation,34,0.542864,0.048278,0.359526,0.014769,24.230868,36.819853
256x20_20260531_lr1e-9,240,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.343485,0.120533,0.303791,0.005946,60.900792,11.032204
256x20_20260531_lr1e-9,240,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.433312,0.139748,0.263161,0.008344,96.319521,19.747827
256x20_20260531_lr1e-9,240,Queen's Pawn Game: Accelerated London System,98,0.312909,0.076669,0.320097,0.018738,431.782117,120.309382
256x20_20260531_lr1e-9,240,Queen's Pawn Game: London System,35,0.282011,0.071381,0.323223,0.028665,181.532633,44.757004
256x20_20260531_lr1e-9,240,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.392531,0.093101,0.373112,0.028875,43.606016,10.892678
256x20_20260531_lr1e-9,240,Ruy Lopez: Exchange Variation,9,0.419134,0.127925,0.467343,0.036089,42.420392,7.637707
256x20_20260531_lr1e-9,240,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.359038,0.111272,0.401795,0.027337,61.041744,10.063152
256x20_20260531_lr1e-9,240,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.499381,0.112173,0.473418,0.034082,24.325134,7.458076
256x20_20260531_lr1e-9,240,Ruy Lopez: Morphy Defense,9,0.641356,0.114483,0.497945,0.022661,5.579031,6.825701
256x20_20260531_lr1e-9,240,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.530245,0.13355,0.453968,0.026772,23.999712,7.823029
256x20_20260531_lr1e-9,240,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.47722,0.145499,0.460445,0.07087,42.420392,14.01498
256x20_20260531_lr1e-9,240,Ruy Lopez: Steinitz Defense,17,0.399243,0.126738,0.371974,0.05218,100.851532,21.672759
256x20_20260531_lr1e-9,240,Semi-Slav Defense,14,0.446937,0.072851,0.367238,0.0222,14.540371,15.58745
256x20_20260531_lr1e-9,240,Semi-Slav Defense: Accelerated Move Order,17,0.360872,0.097776,0.33232,0.02061,85.964551,20.551942
256x20_20260531_lr1e-9,240,Semi-Slav Defense: Main Line,17,0.568722,0.076742,0.323265,0.020431,12.730863,21.182156
256x20_20260531_lr1e-9,240,Sicilian Defense,10,0.592968,0.134312,0.479263,0.074454,39.777553,9.42369
256x20_20260531_lr1e-9,240,Sicilian Defense: Chekhover Variation,13,0.542978,0.127824,0.409734,0.052242,43.850419,14.236131
256x20_20260531_lr1e-9,240,Sicilian Defense: Closed,66,0.378854,0.13349,0.361892,0.055075,392.819179,86.780789
256x20_20260531_lr1e-9,240,"Sicilian Defense: Closed, Traditional",34,0.431311,0.161384,0.3396,0.063751,233.811114,53.151613
256x20_20260531_lr1e-9,240,Sicilian Defense: Franco-Sicilian Variation,20,0.374111,0.120613,0.384879,0.075675,138.106834,27.274444
