network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
48x5_20260605_lr1e-9,190,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.399681,0.116033,0.460445,0.07087,59.996628,14.01498
48x5_20260605_lr1e-9,190,Ruy Lopez: Steinitz Defense,17,0.36746,0.08218,0.371974,0.05218,84.631917,21.672759
48x5_20260605_lr1e-9,190,Semi-Slav Defense,14,0.271922,0.035921,0.367238,0.0222,52.496151,15.58745
48x5_20260605_lr1e-9,190,Semi-Slav Defense: Accelerated Move Order,17,0.294333,0.067175,0.33232,0.02061,73.911336,20.551942
48x5_20260605_lr1e-9,190,Semi-Slav Defense: Main Line,17,0.387473,0.050601,0.323265,0.020431,51.061067,21.182156
48x5_20260605_lr1e-9,190,Sicilian Defense,10,0.425903,0.087625,0.479263,0.074454,11.224843,9.42369
48x5_20260605_lr1e-9,190,Sicilian Defense: Chekhover Variation,13,0.425759,0.096001,0.409734,0.052242,15.609723,14.236131
48x5_20260605_lr1e-9,190,Sicilian Defense: Closed,66,0.336149,0.109763,0.361892,0.055075,368.78244,86.780789
48x5_20260605_lr1e-9,190,"Sicilian Defense: Closed, Traditional",34,0.382585,0.117566,0.3396,0.063751,172.235285,53.151613
48x5_20260605_lr1e-9,190,Sicilian Defense: Franco-Sicilian Variation,20,0.389197,0.128412,0.384879,0.075675,105.784145,27.274444
48x5_20260605_lr1e-9,190,Sicilian Defense: Grand Prix Attack,35,0.389552,0.139395,0.377194,0.063665,176.149444,45.203963
48x5_20260605_lr1e-9,190,Sicilian Defense: Löwenthal Variation,10,0.526863,0.114919,0.501852,0.056042,10.181915,8.032144
48x5_20260605_lr1e-9,190,Sicilian Defense: Modern Variations,35,0.310748,0.080766,0.311342,0.025573,148.206807,44.998593
48x5_20260605_lr1e-9,190,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.410875,0.12907,0.38408,0.073125,84.817702,23.126486
48x5_20260605_lr1e-9,190,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.463479,0.103845,0.391511,0.061378,11.04855,13.855622
48x5_20260605_lr1e-9,190,"Sicilian Defense: Modern Variations, Main Line",10,0.51064,0.101883,0.567433,0.085864,9.780698,8.220391
48x5_20260605_lr1e-9,190,Sicilian Defense: Old Sicilian,35,0.376871,0.085814,0.32401,0.04858,124.509776,47.564828
48x5_20260605_lr1e-9,190,Sicilian Defense: Open,17,0.486107,0.107755,0.45994,0.088346,33.626363,18.280124
48x5_20260605_lr1e-9,190,Sicilian Defense: Taimanov Variation,9,0.58244,0.075205,0.45596,0.071935,6.221306,8.850648
48x5_20260605_lr1e-9,200,Bishop's Opening,35,0.297748,0.137865,0.352661,0.054265,281.780808,45.741233
48x5_20260605_lr1e-9,200,Bishop's Opening: Berlin Defense,28,0.327441,0.100652,0.308934,0.012975,152.456589,34.812974
48x5_20260605_lr1e-9,200,Bogo-Indian Defense: Exchange Variation,18,0.400161,0.071408,0.347724,0.024347,21.798172,20.703641
48x5_20260605_lr1e-9,200,Bogo-Indian Defense: Nimzowitsch Variation,18,0.279306,0.068055,0.301482,0.012573,92.250876,22.691327
48x5_20260605_lr1e-9,200,Catalan Opening: Closed,24,0.348629,0.036882,0.379432,0.059839,76.708102,27.006645
48x5_20260605_lr1e-9,200,Grünfeld Defense,10,0.384091,0.147514,0.346147,0.059713,61.479023,14.212191
48x5_20260605_lr1e-9,200,Grünfeld Defense: Exchange Variation,10,0.473746,0.110794,0.436404,0.082957,26.242354,10.904629
48x5_20260605_lr1e-9,200,Grünfeld Defense: Three Knights Variation,30,0.323284,0.107951,0.330739,0.060153,188.145847,42.197992
48x5_20260605_lr1e-9,200,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.257259,0.06274,0.377614,0.068151,97.608305,25.488274
48x5_20260605_lr1e-9,200,Indian Defense: Anti-Nimzo-Indian,22,0.302225,0.057897,0.274575,0.03745,110.598109,36.274228
48x5_20260605_lr1e-9,200,Indian Defense: London System,35,0.319089,0.077298,0.350224,0.05641,146.645764,45.473879
48x5_20260605_lr1e-9,200,Italian Game: Classical Variation,18,0.386073,0.092798,0.364866,0.031454,70.578683,20.864884
48x5_20260605_lr1e-9,200,"Italian Game: Classical Variation, Albin Gambit",16,0.368617,0.100051,0.380332,0.028566,85.364871,17.306238
48x5_20260605_lr1e-9,200,"Italian Game: Classical Variation, Center Attack",16,0.502964,0.121622,0.428088,0.023157,64.454087,14.92749
48x5_20260605_lr1e-9,200,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.344874,0.088575,0.346306,0.017855,160.577913,39.841182
48x5_20260605_lr1e-9,200,"Italian Game: Giuoco Pianissimo, Normal",27,0.325248,0.067097,0.349352,0.016064,115.857611,30.233633
