uci_line,opening,move_index,move,human_cond_prob,mean_lc0_prob,var_lc0_prob
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,8,e7e6,0.30345305,0.142079,0.002278
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,9,g1f3,0.40539756,0.465071,0.002156
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,1,d2d4,0.25279522,0.213321,0.001014
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,2,d7d5,0.41761442,0.505208,0.000407
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,3,c1f4,0.18299051,0.364205,0.001043
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,4,b8c6,0.2472211,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,5,e2e3,0.59506511,0.467032,0.007226
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,6,g8f6,0.34703583,0.374569,0.004705
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,7,g1f3,0.42060484,0.466257,0.003259
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,8,c8g4,0.26339914,0.240512,0.000313
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 b1d2,Queen's Pawn Game: Accelerated London System,9,b1d2,0.21387266,0.284508,0.000363
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,1,d2d4,0.25279522,0.213321,0.001014
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,2,d7d5,0.41761442,0.505208,0.000407
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,3,c1f4,0.18299051,0.364205,0.001043
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,4,b8c6,0.2472211,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,5,e2e3,0.59506511,0.467032,0.007226
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,6,g8f6,0.34703583,0.374569,0.004705
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,7,g1f3,0.42060484,0.466257,0.003259
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,8,c8g4,0.26339914,0.240512,0.000313
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 c8g4 f1e2,Queen's Pawn Game: Accelerated London System,9,f1e2,0.2699206,0.133827,0.000121
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,1,d2d4,0.25279522,0.213321,0.001014
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,2,d7d5,0.41761442,0.505208,0.000407
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,3,c1f4,0.18299051,0.364205,0.001043
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,4,b8c6,0.2472211,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,5,e2e3,0.59506511,0.467032,0.007226
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,6,g8f6,0.34703583,0.374569,0.004705
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,7,g1f3,0.42060484,0.466257,0.003259
d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 g1f3 e7e6 c2c3,Queen's Pawn Game: Accelerated London System,8,e7e6,0.29338058,0.114859,7.1e-05
