network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
256x20_20260617_lr1e-9,60,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.323031,0.105948,0.303791,0.005946,61.532132,11.032204
256x20_20260617_lr1e-9,60,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.432701,0.139865,0.263161,0.008344,96.396064,19.747827
256x20_20260617_lr1e-9,60,Queen's Pawn Game: Accelerated London System,98,0.314566,0.080063,0.320097,0.018738,419.088331,120.309382
256x20_20260617_lr1e-9,60,Queen's Pawn Game: London System,35,0.290283,0.066339,0.323223,0.028665,133.695571,44.757004
256x20_20260617_lr1e-9,60,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.422747,0.100738,0.373112,0.028875,42.843876,10.892678
256x20_20260617_lr1e-9,60,Ruy Lopez: Exchange Variation,9,0.447497,0.121361,0.467343,0.036089,41.534543,7.637707
256x20_20260617_lr1e-9,60,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.392747,0.116202,0.401795,0.027337,60.060584,10.063152
256x20_20260617_lr1e-9,60,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.53083,0.102333,0.473418,0.034082,23.401544,7.458076
256x20_20260617_lr1e-9,60,Ruy Lopez: Morphy Defense,9,0.669719,0.095313,0.497945,0.022661,4.693181,6.825701
256x20_20260617_lr1e-9,60,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.558608,0.120682,0.453968,0.026772,23.113862,7.823029
256x20_20260617_lr1e-9,60,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.502747,0.136698,0.460445,0.07087,41.534543,14.01498
256x20_20260617_lr1e-9,60,Ruy Lopez: Steinitz Defense,17,0.4181,0.12839,0.371974,0.05218,84.421755,21.672759
256x20_20260617_lr1e-9,60,Semi-Slav Defense,14,0.454799,0.076977,0.367238,0.0222,14.313789,15.58745
256x20_20260617_lr1e-9,60,Semi-Slav Defense: Accelerated Move Order,17,0.359615,0.092202,0.33232,0.02061,85.93134,20.551942
256x20_20260617_lr1e-9,60,Semi-Slav Defense: Main Line,17,0.579693,0.070792,0.323265,0.020431,11.964787,21.182156
256x20_20260617_lr1e-9,60,Sicilian Defense,10,0.594154,0.147932,0.479263,0.074454,39.999095,9.42369
256x20_20260617_lr1e-9,60,Sicilian Defense: Chekhover Variation,13,0.536198,0.139302,0.409734,0.052242,44.282682,14.236131
256x20_20260617_lr1e-9,60,Sicilian Defense: Closed,66,0.384486,0.144104,0.361892,0.055075,409.972524,86.780789
256x20_20260617_lr1e-9,60,"Sicilian Defense: Closed, Traditional",34,0.431024,0.162721,0.3396,0.063751,234.066264,53.151613
256x20_20260617_lr1e-9,60,Sicilian Defense: Franco-Sicilian Variation,20,0.358939,0.125539,0.384879,0.075675,139.495211,27.274444
256x20_20260617_lr1e-9,60,Sicilian Defense: Grand Prix Attack,35,0.405945,0.132448,0.377194,0.063665,140.725288,45.203963
256x20_20260617_lr1e-9,60,Sicilian Defense: Löwenthal Variation,10,0.566883,0.11333,0.501852,0.056042,9.219633,8.032144
256x20_20260617_lr1e-9,60,Sicilian Defense: Modern Variations,35,0.292067,0.102588,0.311342,0.025573,261.994004,44.998593
256x20_20260617_lr1e-9,60,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.474064,0.157239,0.38408,0.073125,83.790561,23.126486
256x20_20260617_lr1e-9,60,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.478384,0.137673,0.391511,0.061378,42.352772,13.855622
256x20_20260617_lr1e-9,60,"Sicilian Defense: Modern Variations, Main Line",10,0.694154,0.119101,0.567433,0.085864,21.578415,8.220391
256x20_20260617_lr1e-9,60,Sicilian Defense: Old Sicilian,35,0.37312,0.109133,0.32401,0.04858,174.148683,47.564828
256x20_20260617_lr1e-9,60,Sicilian Defense: Open,17,0.533505,0.143603,0.45994,0.088346,63.845098,18.280124
256x20_20260617_lr1e-9,60,Sicilian Defense: Taimanov Variation,9,0.632943,0.103003,0.45596,0.071935,5.962644,8.850648
256x20_20260617_lr1e-9,70,Bishop's Opening,35,0.251565,0.109144,0.352661,0.054265,299.830678,45.741233
256x20_20260617_lr1e-9,70,Bishop's Opening: Berlin Defense,28,0.331208,0.074034,0.308934,0.012975,149.79152,34.812974
256x20_20260617_lr1e-9,70,Bogo-Indian Defense: Exchange Variation,18,0.475511,0.102466,0.347724,0.024347,67.657436,20.703641
256x20_20260617_lr1e-9,70,Bogo-Indian Defense: Nimzowitsch Variation,18,0.48368,0.102532,0.301482,0.012573,67.261979,22.691327
256x20_20260617_lr1e-9,70,Catalan Opening: Closed,24,0.573977,0.074234,0.379432,0.059839,16.639639,27.006645
256x20_20260617_lr1e-9,70,Grünfeld Defense,10,0.421067,0.07464,0.346147,0.059713,26.971125,14.212191
256x20_20260617_lr1e-9,70,Grünfeld Defense: Exchange Variation,10,0.517734,0.074202,0.436404,0.082957,8.351139,10.904629
256x20_20260617_lr1e-9,70,Grünfeld Defense: Three Knights Variation,30,0.503337,0.131812,0.330739,0.060153,157.16382,42.197992
256x20_20260617_lr1e-9,70,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.520024,0.099656,0.377614,0.068151,50.229485,25.488274
256x20_20260617_lr1e-9,70,Indian Defense: Anti-Nimzo-Indian,22,0.424675,0.100201,0.274575,0.03745,73.872135,36.274228
256x20_20260617_lr1e-9,70,Indian Defense: London System,35,0.340888,0.099594,0.350224,0.05641,177.560078,45.473879
256x20_20260617_lr1e-9,70,Italian Game: Classical Variation,18,0.318954,0.069102,0.364866,0.031454,88.004271,20.864884
256x20_20260617_lr1e-9,70,"Italian Game: Classical Variation, Albin Gambit",16,0.402824,0.085837,0.380332,0.028566,49.976124,17.306238
256x20_20260617_lr1e-9,70,"Italian Game: Classical Variation, Center Attack",16,0.43157,0.098333,0.428088,0.023157,48.900909,14.92749
256x20_20260617_lr1e-9,70,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.437845,0.073071,0.346306,0.017855,66.737631,39.841182
256x20_20260617_lr1e-9,70,"Italian Game: Giuoco Pianissimo, Normal",27,0.437251,0.060334,0.349352,0.016064,58.177485,30.233633
256x20_20260617_lr1e-9,70,Italian Game: Giuoco Piano,22,0.379904,0.082619,0.369313,0.020547,90.407025,23.673696
256x20_20260617_lr1e-9,70,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.486502,0.168399,0.444001,0.080385,155.07466,30.973696
256x20_20260617_lr1e-9,70,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.447914,0.080054,0.299176,0.015923,63.463917,40.095809
256x20_20260617_lr1e-9,70,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.280116,0.109129,0.323835,0.020155,210.336702,27.153871
256x20_20260617_lr1e-9,70,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.280116,0.109129,0.372124,0.029836,210.336702,24.647432
256x20_20260617_lr1e-9,70,King's Indian Defense,10,0.479563,0.053331,0.405792,0.040393,24.528658,10.220564
256x20_20260617_lr1e-9,70,King's Indian Defense: Fianchetto Variation,22,0.560909,0.111099,0.441064,0.108347,66.202026,26.620346
256x20_20260617_lr1e-9,70,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.471914,0.090894,0.291299,0.054513,47.372537,25.066807
256x20_20260617_lr1e-9,70,King's Indian Defense: Four Pawns Attack,9,0.488536,0.046232,0.459675,0.05215,23.450665,8.295772
256x20_20260617_lr1e-9,70,King's Indian Defense: Normal Variation,10,0.511111,0.066604,0.400227,0.041976,24.038451,10.360807
256x20_20260617_lr1e-9,70,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.551619,0.082264,0.414267,0.048594,17.166895,18.514729
256x20_20260617_lr1e-9,70,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.554293,0.083555,0.43958,0.049356,50.710747,22.951681
256x20_20260617_lr1e-9,70,King's Indian Defense: Smyslov Variation,21,0.410376,0.098695,0.407008,0.054143,90.317022,22.122515
256x20_20260617_lr1e-9,70,London System,29,0.404596,0.131318,0.341028,0.051066,180.208973,39.710726
256x20_20260617_lr1e-9,70,"London System, with Bd3",13,0.417595,0.12494,0.399965,0.07114,63.971705,14.833596
256x20_20260617_lr1e-9,70,"London System, with Be2",13,0.452227,0.102638,0.383035,0.07741,30.116025,15.926746
256x20_20260617_lr1e-9,70,Neo-Grünfeld Defense: with Nf3,24,0.393112,0.10149,0.320509,0.051207,93.289437,33.330833
256x20_20260617_lr1e-9,70,Nimzo-Indian Defense,21,0.375017,0.067618,0.272688,0.013207,43.339736,28.684242
256x20_20260617_lr1e-9,70,Nimzo-Indian Defense: Classical Variation,10,0.478275,0.058388,0.336314,0.019322,24.869584,11.678434
256x20_20260617_lr1e-9,70,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.372214,0.059636,0.339277,0.020024,28.152999,11.632695
256x20_20260617_lr1e-9,70,Nimzo-Indian Defense: Three Knights Variation,30,0.34337,0.117525,0.326212,0.067083,156.230944,48.718731
256x20_20260617_lr1e-9,70,Petrov's Defense: Italian Variation,20,0.215048,0.094521,0.314097,0.012347,196.120884,24.594656
256x20_20260617_lr1e-9,70,Philidor Defense,51,0.2806,0.111494,0.3688,0.063277,433.359885,67.006097
256x20_20260617_lr1e-9,70,Philidor Defense: Exchange Variation,20,0.467662,0.161506,0.372259,0.040539,102.082791,23.163618
256x20_20260617_lr1e-9,70,Queen's Gambit Accepted,33,0.305925,0.118268,0.340622,0.036558,259.202081,40.516912
256x20_20260617_lr1e-9,70,Queen's Gambit Accepted: Old Variation,34,0.403039,0.142196,0.377624,0.054529,219.305069,40.351444
256x20_20260617_lr1e-9,70,Queen's Gambit Declined,38,0.405957,0.10713,0.336386,0.029532,174.408848,48.541262
256x20_20260617_lr1e-9,70,Queen's Gambit Declined: Harrwitz Attack,34,0.507112,0.062197,0.334187,0.015322,27.802658,39.44284
256x20_20260617_lr1e-9,70,Queen's Gambit Declined: Modern Variation,19,0.397084,0.085441,0.329033,0.019593,86.50338,22.827387
256x20_20260617_lr1e-9,70,Queen's Gambit Declined: Ragozin Defense,39,0.458099,0.075108,0.329671,0.017334,40.634426,46.597633
256x20_20260617_lr1e-9,70,Queen's Gambit Declined: Three Knights Variation,34,0.539366,0.051734,0.359526,0.014769,24.654186,36.819853
256x20_20260617_lr1e-9,70,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.306591,0.092507,0.303791,0.005946,61.279328,11.032204
256x20_20260617_lr1e-9,70,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.430298,0.139643,0.263161,0.008344,96.506437,19.747827
256x20_20260617_lr1e-9,70,Queen's Pawn Game: Accelerated London System,98,0.325392,0.084951,0.320097,0.018738,430.754157,120.309382
256x20_20260617_lr1e-9,70,Queen's Pawn Game: London System,35,0.292848,0.065337,0.323223,0.028665,132.947266,44.757004
256x20_20260617_lr1e-9,70,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.426614,0.111157,0.373112,0.028875,42.951609,10.892678
256x20_20260617_lr1e-9,70,Ruy Lopez: Exchange Variation,9,0.426597,0.122245,0.467343,0.036089,42.045368,7.637707
256x20_20260617_lr1e-9,70,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.363938,0.105356,0.401795,0.027337,60.689192,10.063152
256x20_20260617_lr1e-9,70,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.509931,0.106701,0.473418,0.034082,23.91237,7.458076
256x20_20260617_lr1e-9,70,Ruy Lopez: Morphy Defense,9,0.64882,0.105485,0.497945,0.022661,5.204007,6.825701
256x20_20260617_lr1e-9,70,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.537709,0.126211,0.453968,0.026772,23.624687,7.823029
256x20_20260617_lr1e-9,70,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.483938,0.139611,0.460445,0.07087,42.045368,14.01498
256x20_20260617_lr1e-9,70,Ruy Lopez: Steinitz Defense,17,0.412481,0.132,0.371974,0.05218,100.318166,21.672759
256x20_20260617_lr1e-9,70,Semi-Slav Defense,14,0.456914,0.075419,0.367238,0.0222,14.042259,15.58745
256x20_20260617_lr1e-9,70,Semi-Slav Defense: Accelerated Move Order,17,0.351558,0.096505,0.33232,0.02061,102.260287,20.551942
256x20_20260617_lr1e-9,70,Semi-Slav Defense: Main Line,17,0.577987,0.069702,0.323265,0.020431,11.91243,21.182156
256x20_20260617_lr1e-9,70,Sicilian Defense,10,0.580884,0.13777,0.479263,0.074454,40.096187,9.42369
256x20_20260617_lr1e-9,70,Sicilian Defense: Chekhover Variation,13,0.524381,0.130415,0.409734,0.052242,44.567826,14.236131
256x20_20260617_lr1e-9,70,Sicilian Defense: Closed,66,0.380444,0.146033,0.361892,0.055075,411.748471,86.780789
256x20_20260617_lr1e-9,70,"Sicilian Defense: Closed, Traditional",34,0.435378,0.167165,0.3396,0.063751,218.989701,53.151613
256x20_20260617_lr1e-9,70,Sicilian Defense: Franco-Sicilian Variation,20,0.357084,0.119592,0.384879,0.075675,139.503762,27.274444
256x20_20260617_lr1e-9,70,Sicilian Defense: Grand Prix Attack,35,0.392854,0.130316,0.377194,0.063665,157.301115,45.203963
256x20_20260617_lr1e-9,70,Sicilian Defense: Löwenthal Variation,10,0.577055,0.105297,0.501852,0.056042,23.78899,8.032144
256x20_20260617_lr1e-9,70,Sicilian Defense: Modern Variations,35,0.294171,0.10295,0.311342,0.025573,261.466715,44.998593
256x20_20260617_lr1e-9,70,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.465827,0.153729,0.38408,0.073125,84.195869,23.126486
256x20_20260617_lr1e-9,70,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.464068,0.123443,0.391511,0.061378,42.460986,13.855622
256x20_20260617_lr1e-9,70,"Sicilian Defense: Modern Variations, Main Line",10,0.680884,0.111593,0.567433,0.085864,21.675507,8.220391
